name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Anil Khare,"Office 2401, Fortune Tower Cluster C - Metro Station - near DMCC - Jumeirah Lakes Towers - Dubai - United Arab Emirates",anilkhare.com,+971 55 956 4344,128.0,4.9,Student career counseling office,
Futures Abroad,"Suite 508, Goldcrest Executive - Cluster C - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates",futuresabroad.com,+971 58 598 6640,230.0,4.7,Student career counseling office,Open · Closes 6pm
My Learning Curve,Bonnington Jumeirah Lakes Towers - Al Thanyah Fifth - JLT Cluster J - Dubai - United Arab Emirates,mylearningcurve.org,+971 55 827 8414,30.0,5.0,Career guidance service, · Closes 6pm
Guideme: Study Abroad And Educational Consultant,Tiffany Tower - 2402 Cluster W - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,guidemeedu.com,+971 52 140 5818,125.0,4.9,Educational consultant,Open · Closes 6:30pm
Mk Counselling Services,Al Thanyah Third - The Greens - Dubai - United Arab Emirates,mkcscareers.com,+971 55 339 3115,36.0,5.0,Career guidance service, · Closes 9pm
The Mindful Mentoring,JLT Cluster S - Al Sarayat St - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,themindfulmentoring.com,+971 56 792 6010,46.0,4.9,Counselor, · Closes 7pm
Edusight,Shams 1 - Al Sayorah St - Marsa Dubai - Jumeirah Beach Residence - Dubai - United Arab Emirates,,+971 50 451 8940,44.0,4.8,Counselor, · Closes 9pm
Human Relations Institute & Clinics (Hric Dubai),Indigo Icon Tower - Suite 606 - 607 Cluster F - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,hricdubai.com,+971 4 365 8498,31.0,4.5,Mental Hospital, · Closes 8pm
Zeta Yarwood Career And Life Coaching,"Dubai Media City, Plot No. 1 - Media 1 Tower - الصفوحالصفوح 2 - Dubai - United Arab Emirates",zetayarwood.com,,33.0,4.9,Life coach, · Closes 8pm
Intelligent Partners,"BB1 Tower, Mazaya Business Avenue - Intelligent Partners - 1705 - Jumeirah Lakes Towers - Dubai - United Arab Emirates",intelligentpartners.com,+971 52 692 2531,184.0,4.4,Educational consultant,Open · Closes 6pm
