name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
International Training Institute Iti Dubai Knowledge Park,Block 13 - Office 129 - First floor - Al Sufouh - Dubai Knowledge Park - Dubai - United Arab Emirates,iti.ae,+971 800 4852,147,4.5,Educational institution, · Opens 8am Thu
IB Scholars,SIT Tower - 410 - near Gems Wellington School - Dubai Silicon Oasis - Dubai - United Arab Emirates,ibscholars.com,+971 55 956 4344,71,4.9,Educational institution,
Ignite Training Institute,Al Moosa Tower 1 - 1503 - Sheikh Zayed Rd - near Emirates Towers Metro (Sea Side - Trade Center First - Dubai - United Arab Emirates,ignitetraininginstitute.com,+971 58 858 9958,78,4.9,Tutoring service, · 9pm · Opens 10am Thu
Stellar Tutoring,Platinum Business Centre - 7th Baghdad Street - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,cambridge.staracademy.org.uk,+971 54 720 2175,1,5.0,Tutoring service,
Igcse IB Math Physics Chemistry Computer Science Tuition Center,"606, Pearl Tower - Sharjah - United Arab Emirates",,+971 50 569 4199,28,4.7,Private Tutor, · 9pm · Opens 7am Thu
Mixt Home Tutors,Dubai Mall - Financial Ctr St - Burj Khalifa - Downtown Dubai - Dubai - United Arab Emirates,mixthometutors.com,+44 7577 330441,15,4.7,Private Tutor, · Closes 11:30pm
Getyourtutors,"Floor - 41, Emirates Towers - Sheikh Zayed Rd - Dubai - United Arab Emirates",getyourtutors.com,+971 50 947 9432,338,4.9,Private Tutor, · 8:30pm · Opens 9am Thu
Tutors.Ae,"Amourion Training Institute, Al Moosa Tower 2 - 2703 - 04 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates",tutors.ae,+971 55 956 4344,63,4.7,Educational institution,Open 24 hours
Tutoring Club,Wasl Vita - Al Wasl Rd - Jumeirah - Jumeira First - Dubai - United Arab Emirates,tutoringclub.ae,+971 4 255 1880,621,4.9,Education center, · Opens 10am Thu
Board Exam Preparations Cambridge Edxcel O/As/A Level Igcse Cbse Pure Maths Mechanics Statistics Physics Chemistry Biology,Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,,+971 50 786 9443,5,4.8,Private Tutor,
Math Quotient Training Institute,M-02 Bank Street Building Al Tawhidi Building 1 - next to ADCB - Dubai - United Arab Emirates,mathquotient.org,+971 58 579 1397,260,4.8,Tutoring service,Open · Closes 10pm
Educational Coaching Center,Beach Park Plaza Center - Jumeirah - Jumeirah 2 - Dubai - United Arab Emirates,site.eccdubai.ae,+971 4 431 0999,14,5.0,Vocational school, · Opens 9am Thu
Igcse Math-Science Private Tutors Dubai,Fortune Tower - Cluster C - Al Thanyah Fifth - Jumeirah Lakes Towers - Dubai - United Arab Emirates,igcsemathstutordubai.com,+971 55 871 6861,7,5.0,Tutoring service, · Opens 12pm Thu
Class Of Choice,Fortunato Building - Jumeirah Village Circle - Dubai - United Arab Emirates,classofchoice.com,+971 54 325 1789,215,4.9,Private Tutor,
Tutoring Club Palm Jumeirah,Golden Mile 9 - Palm Jumeirah Rd - The Palm Jumeirah - Dubai - United Arab Emirates,tutoringclub.ae,+971 4 326 9785,67,5.0,Education center,Closed · Opens 10am Thu
"Aneespedia Education Support Services , Dubai",Bank Street Building - Al Tawhidi building - 1 - 203 Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates,aneespedia.com,+971 58 139 5577,97,4.7,Education center,
First Class Training Center Dubai Branch,FIRST - Damascus Street - Al Qusais - Al Qusais Ind. Second - Dubai - United Arab Emirates,firstctc.ae,+971 54 396 6209,11,5.0,Educational institution, · 9pm · Opens 1pm Fri
Cordoba Institute,Juma Al Majid Commercial - Office 201 - Sheikh Khalifa Bin Zayed St - opposite BurJuman Burdubai - Al Karama - Dubai - United Arab Emirates,cordobainstitute.com,+971 4 337 7730,24,4.2,Tutoring service, · Opens 10am Thu
"Unique World Education Al Nahda, Dubai (6Th To 12Th Grade Cbse Tuition, Neet And Jee Classes)","Platinum Business Centre - Office 307, 3rd Floor - Baghdad Street - Al Nahda Second - Dubai - United Arab Emirates",uniqueworldedu.com,+971 4 357 4415,169,4.9,Education center, · 9pm · Opens 12pm Thu
"Unique World Education Al Karama, Dubai (6Th To 12Th Grade Cbse Tuition, Neet And Jee Classes)","A Burjuman Metro Exit 2, Hamsah-A Building - Ground Floor Unique World Business Centre - Al Karama - Dubai - United Arab Emirates",uniqueworldedu.com,+971 56 628 2825,311,4.8,Coaching Center, · Opens 10am Thu
