name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Hkexcel Education Centre港傑教育 IB Tutors (Causewaybay 2/F),"Hong Kong, Causeway Bay, Leighton Rd, 合 誠 汽車 大廈202 室",hkexcel.org,+852 2663 9194,29,4.3,Public university, · Opens 11:30am
"IB Dp, Myp Tutor","11/F, Kam Fung Commercial Building, 2-4 Tin Lok Ln, Causeway Bay, Hong Kong",easysevens.com,+852 3520 2947,26,5.0,Educational consultant, · Opens 3pm
"Ib, Igcse And A Level Tutor","304, Lap Fai Building, 6-8 Pottinger St, Central, Hong Kong",hkets.net,+852 2147 2299,25,5.0,Tutoring service, · Opens 10am
"Ib, Igcse Tutors & More!","Mirror Tower, 61 Mody Rd, Tsim Sha Tsui, Hong Kong",allround-edu.com,+852 2724 4240,214,4.8,Education center, · Opens 9am
Barty Education And Development,"17/F, Methodist House, 36 Hennessy Rd, Wan Chai, Hong Kong",bartyed.com,+852 2882 1017,30,4.8,Education center, · Opens 10am
New Horizons Academy Hk,"10/F, 46-54 Yee Wo St, Causeway Bay, Hong Kong",,+852 5691 9358,2,5.0,Education center, · Opens 8am
"Ib, Igcse, International School Tutoring","4-4a Carnarvon Rd, Tsim Sha Tsui, Hong Kong",masteryacademyedu.com,+852 4408 8691,17,5.0,Educational institution, · Opens 9am
Peak Elite Education Centre,"Yam Tze Commercial Building, 23 Thomson Rd, Wan Chai, Hong Kong",peakeducationhk.com,,9,5.0,Tutoring service, · Opens 2pm
Interactive Tutors,"Unit 2, 21/F, Bayfield Building, 99 Hennessy Rd, Wan Chai, Hong Kong",interactivetutors.hk,+852 3563 5263,7,5.0,Tutoring service, · Opens 10am
I-Learner Education Centre (Wan Chai Branch),"6/F, 98 Thomson Rd, Wan Chai, Hong Kong",i-learner.edu.hk,+852 3611 8400,8,4.8,Education center, · Opens 9am
Tuttee Academy,"9/F, V POINT, 18 Tang Lung St, Causeway Bay, Hong Kong",tuttee.co,+852 9800 1636,340,5.0,Educational institution, · Opens 10am
Eok Academy,"6/F, 193 Lockhart Rd, Wan Chai, Hong Kong",eokacademy.com,+852 3953 3400,6,2.3,Learning center, · Opens 9:30am
Edulab (Hk) Limited,"14 Floor Room 1402, 8 Sunning Rd, Causeway Bay, Hong Kong",edulab.hk,+852 5126 9390,12,5.0,Education center,
The Spanish Academy Hong Kong,"Suite 402, Keen Hung Commercial Building, 80 Queen's Rd E, Wan Chai, Hong Kong",thespanishacademy.hk,+852 6899 5497,287,5.0,Language school, · Opens 10am
Kc Tutoring,"145 Hennessy Rd, Wan Chai, Hong Kong",kctutoring.org,,1,5.0,Tutoring service,
Keystone Tutors,"5/F, 95 Queensway, Admiralty, Hong Kong",keystonetutors.com,+852 3704 4817,20,5.0,Private Tutor, · Opens 10am
For You Education Centre,"7/F, 8 Causeway Rd, Causeway Bay, Hong Kong",foryouedu.com.hk,+852 2480 1000,64,4.7,Educational institution, · Opens 10am
Hudson Academy,"2/F, 458-468 Hennessy Rd, Causeway Bay, Hong Kong",hudsonacademy.com.hk,+852 2781 5514,4,5.0,Tutoring service, · Opens 10am
