name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Resource The Counselling Centre Limited,"701, 8-12 Hennessy Rd, Wan Chai, Hong Kong",resourcecounselling.org,+852 2523 8979,22.0,4.2,Social services organization, · 7pm · Opens 9am Wed
Courage Through Coaching,"17/F, Rooms 1703-1704, 193 Lockhart Rd, Wan Chai, Hong Kong",couragethroughcoaching.com,+852 9440 6864,5.0,5.0,Life coach, · Opens 9am Wed
Suzanne Silver,"7/F, Loyong Court Commercial Building, Unit A2-A3, 212-220 Lockhart Rd, Wan Chai, Hong Kong",suzanne-silver.com,+852 8197 9057,3.0,5.0,Business management consultant, · Opens 9am Wed
Experior Asia Limited,"Suite 4002A, 40/F, Lippo Centre Tower 1, 89 Queensway, Admiralty, Hong Kong",experiorasia.com,,52.0,4.8,Educational consultant, · Closes 8pm
The Achievers Wc (Reception),"Tai Yau Building, Room 1309, 13/F, 181 Johnston Rd, Wan Chai, Hong Kong",achievershk.net,+852 5727 1209,8.0,5.0,Educational consultant, · Closes 10pm
Helios Education,"Hong Kong, Wan Chai, Johnston Rd, 181號, Tai Yau Building, 13樓1309-11室",helios-edu.com,+852 2602 1668,11.0,4.6,Educational consultant, · Opens 10am Wed
Malcolm Andrews,"Hong Kong, Wan Chai, Lockhart Rd, 3號22 F",,+852 9263 8594,1.0,5.0,Business management consultant, · Opens 9am Wed
Pinoy Life Overseas/Total Consultancy Limited,"Flat A, 6/F, 164-166 Hennessy Rd, Wan Chai, Hong Kong",pinoylifeoverseas.com,+852 9443 9724,53.0,4.8,Consultant, · Opens 10am Wed
樹洞香港 Treeholehk ｜心理治療｜心理學課程,"4/F, Chinachem Johnston Plaza, 178 Johnston Rd, Wan Chai, Hong Kong",treehole.hk,+852 9541 4771,10.0,4.9,Psychologist, · Opens 11am Thu
,"Flat B, 10/F, Southern Commercial Building, 11-13 Luard Rd, Wan Chai, Hong Kong",,+852 9616 8545,4.0,5.0,Employment consultant, · Opens 10am Wed
Setmycareer,"No. 14/595, 1st Floor, 2nd Main, Opp Passport office Nanjappa Reddy Layout, Koramangala 8th Block, Bengaluru, Karnataka 560095",setmycareer.com,,502.0,4.6,Career guidance service,Open · Closes 8pm
Hope Support Service Centre,"3/F, 113-117 Wan Chai Rd, Wan Chai, Hong Kong",isshk-hope.org,+852 2836 3598,35.0,4.4,Non-governmental organization, · Closes 9pm
Ambition,"Level 25, Five Pacific Place, 28 Hennessy Rd, Wan Chai, Hong Kong",ambition.com.hk,+852 3103 4300,71.0,4.5,Recruiter, · Opens 8:30am Wed
Links International,"27/F, Tai Tung Building, 8 Fleming Rd, Wan Chai, Hong Kong",linksinternational.com,+852 3915 0211,135.0,4.9,Payroll Service Provider, · Opens 9am Wed
See You At The,"8/F Iuki Tower, 5 O'Brien Rd, Wan Chai, Hong Kong",syatt.org,+852 2117 0280,8.0,2.5,Career guidance service, · Opens 10am Wed
Prism Consultancy Co.,"14 Floor, Tung Wai Commercial Bldg, 109-111 Gloucester Rd, Wan Chai, Hong Kong",prismvisas.com,+852 3464 5200,237.0,4.9,Visa Agent, · Opens 9am Wed
Gsn Consultancy (Wan Chai),"22 Floor, On Hong Commercial Building, 145 Hennessy Rd, Wan Chai, Hong Kong",gsnconsultancy.com,+852 9287 4802,31.0,5.0,Visa Agent,
Ziglar Asia Pacific Limited,"8/F, 5 O'Brien Rd, Wan Chai, Hong Kong",ziglarasiapacific.com,+852 2646 6933,1.0,5.0,Consultant, · Opens 10am Wed
Hrnetone Hong Kong,"Suite 1001, 18 Harbour Rd, Wan Chai, Hong Kong",hrnetone.com,+852 2506 9011,153.0,4.9,Recruiter, · Opens 8:30am Wed
琥珀教育 (旺角) Amber Education Mk,"Hong Kong, Mong Kok, Nathan Rd, 625號及 639 號 雅 蘭 中心 辦公 樓 1 期 1601 室",amberedu.com.hk,+852 2377 7880,5.0,5.0,Educational consultant, · 7pm · Opens 9am Wed
梁顥耀玄宇宙,"Pat Chun Mansion, 717 2F Nathan Rd, Mong Kok, Hong Kong",fs888888.com,+852 6888 5036,1.0,3.0,Educational consultant, · Closes 11pm
