name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Amourion Training Institute,"11th Floor, Transworld Tower 2 Building No. 76, Zone, Office No 1, 18 Al Aaliya St, Doha, Qatar",amourion.qa,+974 7771 2180,21,4.8,Education center, · Opens 9am
Study Plus Education Center Qatar,"Near British Council and ScorePlus, Villa No. 127 Al Sadd St, Doha, Qatar",thestudyplus.com,+974 4442 4294,152,4.7,Tutoring service, · Opens 10am
Study Care Education Center,"Villa No. 176 & 178, Rawdat Al Khail St Close to Al-Hilal Signal, Doha, Qatar",studycareqatar.com,+974 5031 9624,78,4.7,Education center, · Opens 1:30pm
IGCSE Tuition in Qatar- Home Tuition,,igcsetutors.qa,+974 7049 6980,15,4.7,Tutoring service,
Tuition point Education Center,"villa-99, street-201 zone-90, Al Wukair Rd, Al Wakrah, Qatar",tuitionpoint.qa,+974 3015 8401,86,4.7,Educational institution, · Opens 8am
AL NABIT GLOBAL EDUCATION CENTRE,"7G5C+7QC, Al Shaab Street, Doha, Qatar",,+974 4435 7991 ext. 77530860,29,4.4,Education center, · Opens 9am
Global Education Centre,"Oqba Bin Nafie St, Doha, Qatar",gecmideast.com,+974 7448 1818,27,4.4,Educational institution, · Opens 9am
Pre-University Education (PUE) Head Office,"Unnamed Road, Ar Rayyan, Qatar",qf.org.qa,+974 4454 0534,5,5.0,Education center, · Opens 7:30am
Global Education Centre Al Wakra,"5J82+4MH, Al, Al Wakrah, Qatar",,+974 7441 8181,30.0,4.3,Education center, · Opens 1pm
Knowledge Spark Education Centre,"St#874, Majlis Al Taawon St, Al Wakrah, Qatar",ksecqatar.com,+974 6624 6676,50.0,4.7,Educational institution, · Opens 12pm
Study Care Education Center,"Villa No. 176 & 178, Rawdat Al Khail St Close to Al-Hilal Signal, Doha, Qatar",studycareqatar.com,+974 5031 9624,78.0,4.7,Education center, · Opens 1:30pm
Tuition point Education Center,"villa-99, street-201 zone-90, Al Wukair Rd, Al Wakrah, Qatar",tuitionpoint.qa,+974 3015 8401,86.0,4.7,Educational institution, · Opens 8am
Al ahram educational centre,"Al, Al Wakrah, Qatar",,+974 3032 2182,20.0,4.4,Education center, · Opens 2pm
Study Time Education Center,"Villa No.74, Street No. 897, Zone 90, Al Murjan Street Al Wakrah, Doha, Qatar",studytime.qa,+974 7000 1890,3.0,5.0,Education center, · Opens 1:45pm
Amourion Training Institute,"11th Floor, Transworld Tower 2 Building No. 76, Zone, Office No 1, 18 Al Aaliya St, Doha, Qatar",amourion.qa,+974 7771 2180,21.0,4.8,Education center, · Opens 9am
Brilliant Education Centre - Al Wakrah,"Building, 4, Umm Al Shuwayi Street Behind, Doha, Qatar",brilliantqatar.com,+974 5005 2100,2.0,5.0,Educational institution, · Opens 9am
Brilliant Education Centre - Al Wukair,"Al, Jeryan Al Tair, Al Wukair, Qatar",brilliantqatar.com,+974 5037 9222,4.0,5.0,Education center, · Opens 8am
Tuition center,"5HFG+J79, Al Wukair, Qatar",,,1.0,5.0,Education center,
Brilliant Education Centre,"Ibn Hanbal St, Doha, Qatar",brilliantqatar.com,+974 5005 6123,184.0,4.7,Educational institution, · Opens 9am
BrainOBrain Wukair,"5G4W+PV Al Janoub Square, Al Wukair, Qatar",brainobrain.com,+974 5586 2930,8.0,4.4,Education center, · Opens 4pm
Vision International School,"Building #5, Majlis Al Taawon St, Al Wakrah, Qatar",vis.qa,+974 4036 4000,6.0,4.2,K-12 school, · Opens 6:45am
London Education Centre,"Near Qatar Foundation، bani hajir Garafat Al Rayyan and Dukhan Highway, Al-Rayyan, Qatar",lec.qa,+974 7069 8788,255.0,4.6,Education center, · Opens 9am
Beta Cambridge School in Doha,"street 300 Zone 91 Al Mashaf, Al Wukair, Doha, Qatar",betacambridge.com,+974 5034 5649,,,International school, · Opens 6:30am
Wisdom Education Centre,"Building No:32, Street:610, Zone:45, Doha, Qatar",,+974 5005 6123,1.0,5.0,Tutoring service,
