name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Unihawk Doha,"Office 4002, The Palm Tower B, 40th Floor, Doha, Qatar",unihawk.com,+974 3029 0949,19.0,4.7,Educational consultant, · Closes 8pm
Lyceum Placements Qatar,"Al Fardan Office Tower, Office 0827, 8th Floor, 61 Al Funduq St, Doha, Qatar",lyceumplacements.com,+974 7165 0822,2.0,5.0,Educational consultant, · Closes 6pm
Qatar Career Development Center,"Education City, Al-Rayyan, Qatar",qcdc.org.qa,+974 4454 6815,27.0,4.4,Non-profit organization, · Closes 3:30pm
Berkeley Training & Educational Consultancy,"Alfardan Centre Floor, 4 Grand Hammad St, Doha, Qatar",berkeleyqa.com,+974 7788 0225,409.0,4.9,Business management consultant, · Closes 9:30pm
Doha Life Coach,"Suite 19 21st Floor, 1 Al Corniche, Doha, Qatar",,+974 7102 2176,8.0,5.0,Life coach, · Closes 5pm
Studyin,"The Gate Mall, Tower 4, Office No. 17, 14th Floor, 63 Maysaloun St, Doha, Qatar",gostudyin.com,+974 5076 0041,26.0,4.5,Educational consultant, · Closes 5pm
Guidance And Innovation Hub (Gih),"MCIT building , 5th floor, Corniche street, Doha, Qatar",gih.qa,+974 7701 5500,2.0,5.0,Educational consultant, · Closes 5pm
Faten El Ayache,"Al Gassar Tower, Burj, Majlis Al Taawon St, Doha, Qatar",fatens.com,+974 5538 3779,23.0,4.8,Life coach,
Al Burraque Consultancy,"Building No 204, 1st Floor, Office Number, 11 Rawdat Al Khail St, Doha, Qatar",alburraqueconsultancy.com,+974 7200 4860,2.0,5.0,Psychologist, · Closes 8:30pm
Artan Consulting And Educational Services,"Office No. 4, Floor 37 Palm Tower B, Doha, Qatar",aces.qa,+974 4403 8686,,,Educational consultant, · Closes 5pm
Iso Certification,"Level 22, Tornado Tower, Majlis Al Taawon St, Doha, Qatar",qualitasqa.com,+974 3000 8547,153.0,4.9,Business management consultant,
Study,"8FMC+6J3 Doha Technical College, Doha, Qatar",,+974 3144 8289,3.0,4.0,Career guidance service,
"Red Rock International, Qatar","Level 8، Al Jazeera Tower, Doha, Qatar",redrockinternational.com,+974 4464 2249,243.0,4.9,Business management consultant, · Closes 4pm
The Peak Development,"Level 15,Commercial Bank Plaza, Doha, Qatar",,+974 6675 7500,1.0,5.0,Life coach, · Closes 8pm
Merakee,,merakee.co,+974 5096 0891,67.0,4.9,Recruiter, · Closes 4:30pm
Pathuniq,"841, Doha, Qatar",pathuniq.united-systema.net,+974 5536 4200,,,Educational consultant,
Black Cat Engineering & Construction W.L.L,"Level -2 & 3, Tornado Tower, Majlis Al Taawon St, Doha, Qatar",blackcatqatar.com,+974 4428 0333,156.0,4.5,Oil & natural gas company, · Closes 4pm
Talent Forth Consultancy L.L.C,"45th Floor, Office No. 08, Palm Tower B, Doha, Qatar",talentforth.org,+974 3350 8046,1.0,3.0,Consultant, · Closes 6pm
Injaz Qatar,"401 Qatar Financial Center Tower 2, West By Area، P.O.Box 96048 - Doha Qatar،, Doha, Qatar",,+974 4491 8330,6.0,4.3,Educational consultant, · Closes 4:30am Wed
University Foundation College (Ufc),"Otba Bin Mohammed St، 794 Aspire Zone 54, Doha, Qatar",ufc.edu.qa,+974 4444 1291,19.0,4.5,University, · Closes 3:30pm
