name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
Yogesh Prabhu IB Classes Dubai,Nadd Hessa - Dubai Silicon Oasis - Dubai - United Arab Emirates,wa.link,086685 39814,2.0,5.0,Coaching Center,
"Atlas Educational Institute (O & A Levels, IB Coaching","Hussain Nasser Lootha Building B Block ,Mezzaine Floor - 27 20B St - opposite Lulu Center - Al Karama - Dubai - United Arab Emirates",atlasdubai.agiuae.com,+971 4 337 3001,177.0,4.2,Educational institution, · Opens 8:30am Mon
Option SAT Dubai,G34 Block 13 - Dubai - United Arab Emirates,optionsatdubai.com,+971 50 926 7126,29.0,4.7,Training center, · Opens 9:30am
Yallaprivate Tutor Gcse/Igcse Dubai,Camino Centro - Wadi Al Safa 5 - The Villa - Dubai - United Arab Emirates,,+971 55 103 7908,,,Education center, · Opens 9am
"Career Campus M.C Sharjah (Nios, O & A Levels, IB Coaching","Al Nayali Building - 1st Floor, Room No: 103 & 104 - 43 St - Bu Shaghara - Hay Al Qasimiah - Sharjah - United Arab Emirates",careercampus.agiuae.com,+971 6 555 7676,133.0,4.4,Education center, · Opens 8:30am Mon
Stellar Tutoring | Cambridge IGCSE Tutoring & Training Center | IGCSE Science tuition,Platinum Business Centre - 7th Baghdad Street - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,cambridge.staracademy.org.uk,+971 54 720 2175,1.0,5.0,Tutoring service, · Opens 9am
IB Scholars powered by Amourion Group,SIT Tower - 410 - near Gems Wellington School - Dubai Silicon Oasis - Dubai - United Arab Emirates,ibscholars.com,+971 55 956 4344,71.0,4.9,Educational institution,
"Sage Education - SAT, IB, A Levels & AP Tutoring","Tameem house Barsha heights, office 909, Dubai UAE Tameem House - Dubai - United Arab Emirates",sageeducation.ae,+971 56 408 1202,9.0,5.0,Educational consultant, · Opens 10am
"TUITION CLASSES (CBSE, O Level, A Level)",Al Salem Towers - 1030 - Al Nahda Second - Al Nahda - Dubai - United Arab Emirates,,+971 55 482 3656,,,Training center,
IB School in Dubai - Jaraso Education,Al Wasl - Dubai - United Arab Emirates,,+971 50 461 6997,,,Education center, · Opens 9am
GCSE IGCSE tutoring,46JG+XWJ - Al Qouz Ind.third - Al Quoz - Dubai - United Arab Emirates,cioaltutors.com,,,,Tutoring service,
CIOAL TUTORS igcse gcse,46FF+MCW - Al Qouz Ind.third - Al Quoz - Dubai - United Arab Emirates,cioaltutors.com,,,,Tutoring service,
Home Tuition- coaching CBSE - IGCSE - school,Al Nad - Hay Al Qasimiah - Sharjah - United Arab Emirates,,+971 52 205 4183,2.0,5.0,Education center, · Opens 3pm Mon
IGCSE Online Tuitions,Main road - Al Satwa - Dubai - United Arab Emirates,igcsetuitions.com,076390 92013,,,Education center,
Student Learning Zone – Online IGCSE & A Level Tutoring,MASAKEN WASL R1088 - 1060 - Al Qusais - Al Qusais 1 - Dubai - United Arab Emirates,studentlearningzone.com,+971 54 439 9689,1.0,5.0,Educational institution, · Opens 9am
SATisfactory Education | Online SAT Coaching UAE,"Research Technology & Innovation Park - B49-083, Block B - University City - Sharjah - United Arab Emirates",satisfactoryedu.com,+971 56 858 1883,92.0,4.9,Test preparation center, · Opens 11am
