lat,lng,search,query,processed
24.85,54.95,IB coaching,IB coaching in Dubai,True
24.85,54.95,IGCSE coaching,IGCSE coaching in Dubai,True
24.85,54.95,A Level coaching,A Level coaching in Dubai,True
24.85,54.95,SAT coaching,SAT coaching in Dubai,True
24.85,54.95,international curriculum school,international curriculum school in Dubai,True
24.85,55.198762,IB coaching,IB coaching in Dubai,True
24.85,55.198762,IGCSE coaching,IGCSE coaching in Dubai,True
24.85,55.198762,A Level coaching,A Level coaching in Dubai,True
24.85,55.198762,SAT coaching,SAT coaching in Dubai,True
24.85,55.198762,international curriculum school,international curriculum school in Dubai,True
24.85,55.447524,IB coaching,IB coaching in Dubai,True
24.85,55.447524,IGCSE coaching,IGCSE coaching in Dubai,True
24.85,55.447524,A Level coaching,A Level coaching in Dubai,True
24.85,55.447524,SAT coaching,SAT coaching in Dubai,True
24.85,55.447524,international curriculum school,international curriculum school in Dubai,True
25.075225,54.95,IB coaching,IB coaching in Dubai,True
25.075225,54.95,IGCSE coaching,IGCSE coaching in Dubai,True
25.075225,54.95,A Level coaching,A Level coaching in Dubai,True
25.075225,54.95,SAT coaching,SAT coaching in Dubai,True
25.075225,54.95,international curriculum school,international curriculum school in Dubai,True
25.075225,55.198762,IB coaching,IB coaching in Dubai,True
25.075225,55.198762,IGCSE coaching,IGCSE coaching in Dubai,True
25.075225,55.198762,A Level coaching,A Level coaching in Dubai,True
25.075225,55.198762,SAT coaching,SAT coaching in Dubai,True
25.075225,55.198762,international curriculum school,international curriculum school in Dubai,True
25.075225,55.447524,IB coaching,IB coaching in Dubai,True
25.075225,55.447524,IGCSE coaching,IGCSE coaching in Dubai,True
25.075225,55.447524,A Level coaching,A Level coaching in Dubai,True
25.075225,55.447524,SAT coaching,SAT coaching in Dubai,True
25.075225,55.447524,international curriculum school,international curriculum school in Dubai,True
25.30045,54.95,IB coaching,IB coaching in Dubai,True
25.30045,54.95,IGCSE coaching,IGCSE coaching in Dubai,True
25.30045,54.95,A Level coaching,A Level coaching in Dubai,True
25.30045,54.95,SAT coaching,SAT coaching in Dubai,True
25.30045,54.95,international curriculum school,international curriculum school in Dubai,True
25.30045,55.198762,IB coaching,IB coaching in Dubai,True
25.30045,55.198762,IGCSE coaching,IGCSE coaching in Dubai,True
25.30045,55.198762,A Level coaching,A Level coaching in Dubai,True
25.30045,55.198762,SAT coaching,SAT coaching in Dubai,True
25.30045,55.198762,international curriculum school,international curriculum school in Dubai,True
25.30045,55.447524,IB coaching,IB coaching in Dubai,True
25.30045,55.447524,IGCSE coaching,IGCSE coaching in Dubai,True
25.30045,55.447524,A Level coaching,A Level coaching in Dubai,True
25.30045,55.447524,SAT coaching,SAT coaching in Dubai,True
25.30045,55.447524,international curriculum school,international curriculum school in Dubai,True
