name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at
IB Scholars,SIT Tower - 410 - near Gems Wellington School - Dubai Silicon Oasis - Dubai - United Arab Emirates,ibscholars.com,+971 55 956 4344,71,4.9,Educational institution,
Tutors.Ae,"Amourion Training Institute, Al Moosa Tower 2 - 2703 - 04 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates",tutors.ae,+971 55 956 4344,63,4.7,Educational institution,Open 24 hours
Ignite Training Institute,Al Moosa Tower 1 - 1503 - Sheikh Zayed Rd - near Emirates Towers Metro (Sea Side - Trade Center First - Dubai - United Arab Emirates,ignitetraininginstitute.com,+971 58 858 9958,78,4.9,Tutoring service, · Opens 10am
Yogesh Prabhu IB Classes Dubai,Nadd Hessa - Dubai Silicon Oasis - Dubai - United Arab Emirates,wa.link,086685 39814,2,5.0,Coaching Center,
"Atlas Educational Institute (O & A Levels, IB Coaching","Hussain Nasser Lootha Building B Block ,Mezzaine Floor - 27 20B St - opposite Lulu Center - Al Karama - Dubai - United Arab Emirates",atlasdubai.agiuae.com,+971 4 337 3001,177,4.2,Educational institution, · Opens 8:30am Mon
Tutoronics- Online Tuitions,Al Wasl - Dubai - United Arab Emirates,tutoronics.com,+971 52 922 8166,32,4.9,Educational institution,
International Training Institute Iti Dubai Knowledge Park,Block 13 - Office 129 - First floor - Al Sufouh - Dubai Knowledge Park - Dubai - United Arab Emirates,iti.ae,+971 800 4852,148,4.5,Educational institution, · Opens 8am Mon
Math Quotient Training Institute,M-02 Bank Street Building Al Tawhidi Building 1 - next to ADCB - Dubai - United Arab Emirates,mathquotient.org,+971 58 579 1397,264,4.8,Tutoring service,Closed · Opens 8am
Maths Tutor IB & Gcse,14 Camino 3 - Wadi Al Safa 5 - The Villa - Dubai - United Arab Emirates,,+971 56 432 4084,3,5.0,Private Tutor, · Opens 3pm Mon
"Aneespedia Education Support Services , Dubai",Bank Street Building - Al Tawhidi building - 1 - 203 Khalid Bin Al Waleed Rd - Dubai - United Arab Emirates,aneespedia.com,+971 58 139 5577,97,4.7,Education center, · Opens 12am Mon
